Age Group,Gender,Education Level,Occupation,Monthly Income (₹),Area of Residence in Mumbai,How often do you shop for consumer products?,Which type of products do you generally prefer?,For which product categories do you prefer branded products?,"When buying clothes (e.g., Zudio, Pantaloons vs local street shops), what do you usually prefer?"," For groceries (e.g., packaged brands vs local kirana stores in Mumbai), what do you prefer?","For electronics (e.g., mobile phones, earphones), which do you trust more?","What factors influence your purchase decision the most?
(Select up to 3)",Branded products offer better quality than unbranded products., Unbranded products are value for money., Do you believe branded products reflect social status?, I feel more confident using branded products in social situations., People in Mumbai are influenced by brand image while shopping.,Social media and advertisements influence my choice of branded products.," Local markets in Mumbai (e.g., street markets, local shops) influence my decision to buy unbranded products.",Shopping malls and branded stores in Mumbai influence my preference for branded products.,Rising cost of living in Mumbai makes me more price-conscious while shopping.,"In your opinion, what best describes your buying behaviour?"
21–30,female,Undergraduate,Student,Not applicable,Western Suburbs,Frequently,Depends on the product,"Electronics, Personal care products",Both,Both equally,Depends on warranty and price,"Price, Quality, Brand name",Agree,Agree,Sometimes,Neutral,Agree,Disagree,Agree,Agree,Strongly agree,Combination of both
Below 20,male,School level,Student,Not applicable,Navi Mumbai,Rarely,Depends on the product,"Electronics, Personal care products",Depends on price and occasion,Depends on availability,Depends on warranty and price,"Quality, Recommendations from others",Strongly Agree,Strongly agree,Maybe,Strongly Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly disagree,Strongly disagree,Depends on the situation
31–40,male,Postgraduate,Other,"40,001 – 60,000",Central Suburbs,Very frequently,Mostly branded,"Clothing, Electronics",Branded stores only,Mostly branded packaged products,Branded products,"Quality, Social status, Advertisement",Agree,Strongly agree,Yes,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Status-oriented buyer
21–30,female,Undergraduate,Salaried employee,"40,001 – 60,000",South Mumbai,Frequently,Both,"Electronics, Footwear",Both,Mostly local/unbranded products,Depends on warranty and price,"Quality, Brand name, Recommendations from others",Agree,Strongly agree,Sometimes,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Smart spender (value-oriented)
31–40,male,Postgraduate,Self-employed / Business,"20,001 – 40,000",Western Suburbs,Very frequently,Mostly branded,"Clothing, Personal care products",Depends on price and occasion,Both equally,Branded products,"Price, Social status, Advertisement",Disagree,Agree,Yes,Strongly Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Neutral,Depends on the situation
41–50,female,Professional qualification,Homemaker,"Below 20,000",Navi Mumbai,Occasionally,Mostly unbranded,Groceries,Local / unbranded shops only,Mostly branded packaged products,Unbranded / local products,"Price, Quality",Strongly Disagree,Disagree,No,Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Status-oriented buyer
Below 20,male,School level,Other,"Above 60,000",Central Suburbs,Frequently,Both,"Electronics, Personal care products",Depends on price and occasion,Both equally,Depends on warranty and price,"Price, Quality, Recommendations from others",Agree,Agree,Sometimes,Neutral,Agree,Agree,Agree,Agree,Agree,Smart spender (value-oriented)
21–30,female,Undergraduate,Student,"20,001 – 40,000",Western Suburbs,Very frequently,Mostly unbranded,Clothing,Local / unbranded shops only,Mostly local/unbranded products,Unbranded / local products,"Price, Social status",Disagree,Strongly agree,No,Strongly Disagree,Strongly disagree,Strongly Disagree,Strongly Agree,Disagree,Agree,Smart spender (value-oriented)
21–30,male,Undergraduate,Student,"Below 20,000",South Mumbai,Frequently,Both,"Electronics, Footwear",Depends on price and occasion,Both equally,Depends on warranty and price,"Price, Quality, Recommendations from others",Agree,Strongly agree,Sometimes,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Combination of both
31–40,female,Postgraduate,Salaried employee,"40,001 – 60,000",Western Suburbs,Very frequently,Mostly branded,"Clothing, Personal care products",Branded stores only,Mostly branded packaged products,Branded products,"Brand name, Social status",Strongly Agree,Disagree,Yes,Strongly Agree,Strongly agree,Strongly Agree,Disagree,Strongly agree,Agree,Status-oriented buyer
41–50,female,Undergraduate,Salaried employee,"20,001 – 40,000",Central Suburbs,Occasionally,Mostly unbranded,"Footwear, Groceries",Local / unbranded shops only,Mostly local/unbranded products,both,"Quality, Advertisement, Recommendations from others",Neutral,Strongly agree,Sometimes,Neutral,Agree,Neutral,Strongly Agree,Agree,Agree,Smart spender (value-oriented)
31–40,female,Undergraduate,Student,"20,001 – 40,000",Central Suburbs,Frequently,Both,"Clothing, Footwear",Both,Mostly local/unbranded products,both,"Price, Quality, Brand name",Agree,Agree,Sometimes,Agree,Agree,Agree,Agree,Agree,Strongly agree,Combination of both
21–30,male,Postgraduate,Salaried employee,"40,001 – 60,000",Thane,Very frequently,Mostly branded,"Electronics, Personal care products",Local / unbranded shops only,Both equally,Branded products,"Price, Social status, Advertisement",Strongly Agree,Strongly disagree,Yes,Disagree,Strongly agree,Strongly Disagree,Disagree,Disagree,Neutral,Status-oriented buyer
41–50,prefer not to say,Professional qualification,Self-employed / Business,"Below 20,000",Western Suburbs,Occasionally,Mostly unbranded,Groceries,Depends on price and occasion,Mostly branded packaged products,Depends on warranty and price,"Brand name, Social status, Recommendations from others",Neutral,Neutral,No,Neutral,Agree,Neutral,Strongly Disagree,Strongly disagree,Agree,Depends on the situation
Above 50,male,School level,Homemaker,"Above 60,000",Navi Mumbai,Very frequently,Depends on the product,"Electronics, Footwear",Branded stores only,Both equally,Unbranded / local products,"Advertisement, Recommendations from others",Strongly Disagree,Strongly disagree,Maybe,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly disagree,Strongly agree,Smart spender (value-oriented)
31–40,female,Postgraduate,Salaried employee,Not applicable,South Mumbai,Rarely,Mostly branded,"Footwear, Groceries",Both,Depends on availability,both,"Price, Quality",Disagree,Agree,Sometimes,Agree,Neutral,Strongly Agree,Agree,Strongly agree,Strongly agree,Status-oriented buyer
31–40,female,Undergraduate,Student,"20,001 – 40,000",Western Suburbs,Frequently,Both,"Clothing, Electronics",Depends on price and occasion,Both equally,Branded products,"Price, Quality, Brand name",Agree,Neutral,Yes,Agree,Strongly agree,Strongly Agree,Agree,Strongly agree,Neutral,Combination of both
21–30,male,Postgraduate,Salaried employee,"40,001 – 60,000",Central Suburbs,Occasionally,Mostly unbranded,"Personal care products, Groceries",Both,Mostly local/unbranded products,Depends on warranty and price,"Social status, Advertisement, Recommendations from others",Strongly Disagree,Strongly agree,No,Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Smart spender (value-oriented)
21–30,male,Undergraduate,Student,"Below 20,000",South Mumbai,Frequently,Both,"Clothing, Electronics",Depends on price and occasion,Both equally,Depends on warranty and price,"Price, Quality, Brand name",Agree,Agree,Sometimes,Agree,Agree,Agree,Strongly Agree,Agree,Strongly agree,Combination of both
31–40,female,Postgraduate,Salaried employee,"40,001 – 60,000",Western Suburbs,Very frequently,Mostly branded,"Personal care products, Groceries",Branded stores only,Mostly branded packaged products,Branded products,"Quality, Brand name, Advertisement",Strongly Agree,Neutral,Yes,Strongly Agree,Strongly agree,Strongly Agree,Disagree,Disagree,Disagree,Status-oriented buyer
41–50,prefer not to say,Professional qualification,Self-employed / Business,"Above 60,000",Thane,Occasionally,Mostly unbranded,"Footwear, Groceries",Local / unbranded shops only,Mostly local/unbranded products,Unbranded / local products,"Price, Advertisement, Recommendations from others",Disagree,Strongly disagree,No,Disagree,Disagree,Neutral,Strongly Agree,Strongly agree,Strongly agree,Smart spender (value-oriented)
21–30,female,Undergraduate,Student,Not applicable,Central Suburbs,Occasionally,Depends on the product,"Clothing, Personal care products, Footwear",Both,Depends on availability,both,"Price, Quality, Social status",Neutral,Disagree,Maybe,Neutral,Neutral,Disagree,Agree,Strongly disagree,Neutral,Depends on the situation
